C:\SelfDrive\Simulator\TrainingData\IMG\center_2022_04_28_21_44_38_557.jpg, C:\SelfDrive\Simulator\TrainingData\IMG\left_2022_04_28_21_44_38_557.jpg, C:\SelfDrive\Simulator\TrainingData\IMG\right_2022_04_28_21_44_38_557.jpg, 0, 0, 0, 7.807829E-05
C:\SelfDrive\Simulator\TrainingData\IMG\center_2022_04_28_21_44_38_707.jpg, C:\SelfDrive\Simulator\TrainingData\IMG\left_2022_04_28_21_44_38_707.jpg, C:\SelfDrive\Simulator\TrainingData\IMG\right_2022_04_28_21_44_38_707.jpg, 0, 0, 0, 7.83237E-05
C:\SelfDrive\Simulator\TrainingData\IMG\center_2022_04_28_21_44_38_815.jpg, C:\SelfDrive\Simulator\TrainingData\IMG\left_2022_04_28_21_44_38_815.jpg, C:\SelfDrive\Simulator\TrainingData\IMG\right_2022_04_28_21_44_38_815.jpg, 0, 0, 0, 7.800134E-05
C:\SelfDrive\Simulator\TrainingData\IMG\center_2022_04_28_21_44_38_962.jpg, C:\SelfDrive\Simulator\TrainingData\IMG\left_2022_04_28_21_44_38_962.jpg, C:\SelfDrive\Simulator\TrainingData\IMG\right_2022_04_28_21_44_38_962.jpg, 0, 0, 0, 7.828634E-05
C:\SelfDrive\Simulator\TrainingData\IMG\center_2022_04_28_21_44_39_066.jpg, C:\SelfDrive\Simulator\TrainingData\IMG\left_2022_04_28_21_44_39_066.jpg, C:\SelfDrive\Simulator\TrainingData\IMG\right_2022_04_28_21_44_39_066.jpg, 0, 0, 0, 7.899515E-05
C:\SelfDrive\Simulator\TrainingData\IMG\center_2022_04_28_21_44_39_210.jpg, C:\SelfDrive\Simulator\TrainingData\IMG\left_2022_04_28_21_44_39_210.jpg, C:\SelfDrive\Simulator\TrainingData\IMG\right_2022_04_28_21_44_39_210.jpg, 0, 0, 0, 7.855935E-05
C:\SelfDrive\Simulator\TrainingData\IMG\center_2022_04_28_21_44_39_318.jpg, C:\SelfDrive\Simulator\TrainingData\IMG\left_2022_04_28_21_44_39_318.jpg, C:\SelfDrive\Simulator\TrainingData\IMG\right_2022_04_28_21_44_39_318.jpg, 0, 0, 0, 7.869761E-05
C:\SelfDrive\Simulator\TrainingData\IMG\center_2022_04_28_21_44_39_458.jpg, C:\SelfDrive\Simulator\TrainingData\IMG\left_2022_04_28_21_44_39_458.jpg, C:\SelfDrive\Simulator\TrainingData\IMG\right_2022_04_28_21_44_39_458.jpg, 0, 0, 0, 7.787076E-05
C:\SelfDrive\Simulator\TrainingData\IMG\center_2022_04_28_21_44_39_564.jpg, C:\SelfDrive\Simulator\TrainingData\IMG\left_2022_04_28_21_44_39_564.jpg, C:\SelfDrive\Simulator\TrainingData\IMG\right_2022_04_28_21_44_39_564.jpg, 0, 0, 0, 7.814199E-05
C:\SelfDrive\Simulator\TrainingData\IMG\center_2022_04_28_21_44_39_676.jpg, C:\SelfDrive\Simulator\TrainingData\IMG\left_2022_04_28_21_44_39_676.jpg, C:\SelfDrive\Simulator\TrainingData\IMG\right_2022_04_28_21_44_39_676.jpg, 0, 0, 0, 7.771568E-05
